imdb_id,imdb_rating,imdb_votes,R
tt5638500,4.1,1373,5.0036922282468375
tt4906984,5.8,4887,5.69847028563693
tt1890363,6.8,1867,6.055782001373942
tt5456810,5.8,6,5.50071827613727
tt5615116,6.5,277,5.5997479294202375
tt5743656,6.9,2402,6.186005711954305
tt5120640,7.2,3778,6.523032812997769
tt5632164,5.3,590,5.461812297734628
tt4857886,6.4,1201,5.79205620102675
tt4814290,7.2,10451,6.871840012354259
tt4434004,7.8,23995,7.582977920362333
tt4581032,5.3,77,5.494024058983314
tt4365060,5.7,357,5.524991249562477
tt5662932,7.3,11202,6.971580791125383
tt3840534,4.2,610,5.245016077170417
tt4358344,7.3,146,5.599319727891157
tt4088588,8.0,3114,6.886711791948699
tt5760490,5.0,12,5.497611464968152
tt5784778,7.1,16,5.510174880763116
tt4832640,7.0,34328,6.898175301401108
tt5240748,5.6,1575,5.538650306748466
tt4675030,3.7,2020,4.695575221238938
tt4818930,7.2,1492,6.135370741482966
tt4579982,4.4,83,5.464653503677894
tt2963974,5.7,590,5.538187702265373
tt5713232,7.5,11411,7.140572209043203
tt3679060,5.1,5976,5.217980179329873
tt4022278,4.7,572,5.351041666666667
tt5165344,7.1,20764,6.928060522696011
tt5752458,6.4,17,5.506078665077474
tt3859980,5.7,9764,5.659230267449446
tt5472758,6.4,4633,6.084564699285014
tt4642936,5.0,270,5.4512635379061365
tt5235880,3.2,3165,4.215004413062665
tt5197544,5.3,5608,5.361667488899851
tt5943306,4.9,2373,5.207818592242971
tt5639388,4.5,1543,5.118352708384863
tt5571734,8.2,33902,8.014570627987473
tt3043252,7.6,4287,6.826462354501253
tt5755606,5.0,923,5.365176745544844
tt5909308,7.4,221,5.6543182653436235
tt5928576,6.1,72,5.516796267496112
